iter	Passed	Remaining
0	1	387
1	6	650
2	8	529
3	8	433
4	12	472
5	15	494
6	16	458
7	19	471
8	19	422
9	22	432
10	23	397
11	23	370
12	25	371
13	26	353
14	27	342
15	30	347
16	33	358
17	33	339
18	35	339
19	37	340
20	38	326
21	38	312
22	40	315
23	43	318
24	44	309
25	44	301
26	45	291
27	47	292
28	49	294
29	52	294
30	52	287
31	54	288
32	57	291
33	59	289
34	59	281
35	62	283
36	64	282
37	66	283
38	68	283
39	71	284
40	71	277
41	74	278
42	75	274
43	78	279
44	79	273
45	80	268
46	82	267
47	84	266
48	86	265
49	87	262
50	89	262
51	91	260
52	91	254
53	92	249
54	93	246
55	95	245
56	97	245
57	99	243
58	99	238
59	101	237
60	102	232
61	103	229
62	105	229
63	107	228
64	109	227
65	110	224
66	110	220
67	111	216
68	113	215
69	115	215
70	117	214
71	119	212
72	121	211
73	124	211
74	124	207
75	126	206
76	127	202
77	129	202
78	129	198
79	129	194
80	130	192
81	131	189
82	133	187
83	134	185
84	136	184
85	138	183
86	139	180
87	139	177
88	141	176
89	142	174
90	145	173
91	146	172
92	148	170
93	149	168
94	150	165
95	152	164
96	154	163
97	156	162
98	158	161
99	160	160
100	162	159
101	164	158
102	166	156
103	168	155
104	170	154
105	172	153
106	172	150
107	175	149
108	177	147
109	178	145
110	180	144
111	182	143
112	182	140
113	184	139
114	186	137
115	187	135
116	189	134
117	191	133
118	193	131
119	195	130
120	197	129
121	199	127
122	201	126
123	203	124
124	205	123
125	206	121
126	208	120
127	210	118
128	212	117
129	214	115
130	216	114
131	218	112
132	220	111
133	222	109
134	224	108
135	226	106
136	228	105
137	230	103
138	232	102
139	234	100
140	236	99
141	238	97
142	240	95
143	243	94
144	245	93
145	248	91
146	250	90
147	251	88
148	254	87
149	257	85
150	259	84
151	262	82
152	262	80
153	264	79
154	266	77
155	268	75
156	270	74
157	272	72
158	274	70
159	277	69
160	279	67
161	280	65
162	282	64
163	284	62
164	286	60
165	288	59
166	290	57
167	292	55
168	294	54
169	295	52
170	297	50
171	299	48
172	301	47
173	302	45
174	305	43
175	307	41
176	309	40
177	311	38
178	313	36
179	315	35
180	316	33
181	318	31
182	320	29
183	322	28
184	324	26
185	326	24
186	328	22
187	330	21
188	331	19
189	334	17
190	336	15
191	338	14
192	340	12
193	342	10
194	344	8
195	346	7
196	347	5
197	349	3
198	351	1
199	353	0
