date,day_of_week,visitors,total_cups,total_sales_yen,pale_ale_bottles,pale_ale_sales,lager_bottles,lager_sales,ipa_bottles,ipa_sales,white_beer_bottles,white_beer_sales,dark_beer_bottles,dark_beer_sales,fruit_beer_bottles,fruit_beer_sales,weather_code,precipitation_sum,temperature_2m_mean,temperature_2m_max,temperature_2m_min,weather
2024-04-01,月,16,25,25300,6,6000,5,4000,5,4500,4,3600,6,7200,0,0,63.0,4.5,13.2,17.0,10.5,rainy
2024-04-02,火,19,25,24600,6,6000,4,3200,5,4500,3,2700,6,7200,1,1000,3.0,0.0,12.1,17.6,6.2,cloudy
2024-04-03,水,11,19,18500,5,5000,4,3200,3,2700,2,1800,4,4800,1,1000,61.0,13.599999,12.5,15.8,8.9,rainy
2024-04-04,木,6,10,9500,2,2000,2,1600,2,1800,1,900,1,1200,2,2000,63.0,7.6,14.3,17.6,11.2,rainy
2024-04-05,金,10,18,17100,3,3000,5,4000,3,2700,2,1800,3,3600,2,2000,53.0,3.8999999,10.7,12.3,9.3,rainy
2024-04-06,土,17,36,34900,11,11000,8,6400,6,5400,3,2700,7,8400,1,1000,3.0,0.0,11.8,16.2,8.3,cloudy
2024-04-08,月,7,9,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,3.0,0.0,16.9,21.7,12.4,cloudy
2024-04-09,火,3,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,65.0,47.399998,14.8,20.0,8.9,rainy
2024-04-10,水,8,15,14700,3,3000,3,2400,2,1800,1,900,3,3600,3,3000,3.0,0.0,9.7,15.1,5.1,cloudy
2024-04-11,木,15,19,18100,6,6000,4,3200,3,2700,2,1800,2,2400,2,2000,3.0,0.0,11.7,18.2,5.0,cloudy
2024-04-12,金,17,30,28400,7,7000,5,4000,6,5400,6,5400,3,3600,3,3000,53.0,1.4000001,13.7,17.6,9.6,rainy
2024-04-13,土,17,33,31400,8,8000,8,6400,6,5400,4,3600,5,6000,2,2000,3.0,0.0,14.9,20.7,9.6,cloudy
2024-04-15,月,21,34,32400,10,10000,6,4800,6,5400,6,5400,4,4800,2,2000,3.0,0.0,17.1,24.0,11.1,cloudy
2024-04-16,火,13,22,20600,6,6000,5,4000,5,4500,3,2700,2,2400,1,1000,3.0,0.0,17.6,21.3,14.3,cloudy
2024-04-17,水,15,26,24800,6,6000,6,4800,4,3600,4,3600,4,4800,2,2000,53.0,1.7,18.2,22.4,15.0,rainy
2024-04-18,木,5,7,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,55.0,3.0,16.3,20.8,12.9,rainy
2024-04-19,金,15,34,32000,9,9000,9,7200,6,5400,4,3600,4,4800,2,2000,51.0,0.4,16.3,21.4,12.8,rainy
2024-04-20,土,19,27,26000,8,8000,5,4000,5,4500,3,2700,4,4800,2,2000,51.0,0.3,16.9,23.9,10.4,rainy
2024-04-22,月,15,23,21600,6,6000,6,4800,3,2700,5,4500,3,3600,0,0,61.0,13.4000025,16.2,19.2,14.4,rainy
2024-04-23,火,20,33,31100,7,7000,8,6400,6,5400,5,4500,4,4800,3,3000,51.0,0.2,16.3,19.5,13.4,rainy
2024-04-24,水,5,9,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,61.0,12.0,15.1,16.5,14.2,rainy
2024-04-25,木,14,27,25700,7,7000,6,4800,3,2700,4,3600,3,3600,4,4000,53.0,0.6,18.4,23.7,13.3,rainy
2024-04-26,金,19,33,31900,10,10000,7,5600,4,3600,5,4500,6,7200,1,1000,3.0,0.0,18.6,25.2,12.2,cloudy
2024-04-27,土,12,19,18000,6,6000,4,3200,3,2700,3,2700,2,2400,1,1000,51.0,0.8,18.8,22.3,16.6,rainy
2024-04-29,月,7,14,13400,2,2000,3,2400,2,1800,2,1800,2,2400,3,3000,3.0,0.0,19.9,24.7,15.5,cloudy
2024-04-30,火,10,20,19500,6,6000,3,2400,3,2700,2,1800,3,3600,3,3000,51.0,0.8,20.6,24.5,17.2,rainy
2024-05-01,水,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,63.0,37.300003,17.0,19.8,12.5,rainy
2024-05-02,木,11,25,23300,6,6000,7,5600,4,3600,5,4500,3,3600,0,0,61.0,6.7999997,14.6,19.7,11.2,rainy
2024-05-03,金,24,45,42700,9,9000,12,9600,6,5400,7,6300,7,8400,4,4000,0.0,0.0,15.6,21.8,9.2,sunny
2024-05-04,土,15,27,25500,8,8000,7,5600,4,3600,3,2700,3,3600,2,2000,0.0,0.0,18.7,26.3,12.4,sunny
2024-05-06,月,14,18,16900,5,5000,4,3200,4,3600,3,2700,2,2400,0,0,3.0,0.0,19.6,22.1,17.3,cloudy
2024-05-07,火,15,21,19700,5,5000,5,4000,4,3600,3,2700,2,2400,2,2000,63.0,15.600001,19.9,21.5,18.6,rainy
2024-05-08,水,11,20,19100,5,5000,4,3200,3,2700,4,3600,3,3600,1,1000,65.0,19.9,17.7,23.2,12.7,rainy
2024-05-09,木,9,15,14400,3,3000,3,2400,2,1800,2,1800,2,2400,3,3000,55.0,1.7,13.1,17.3,10.5,rainy
2024-05-10,金,21,47,44500,10,10000,10,8000,8,7200,7,6300,5,6000,7,7000,3.0,0.0,15.7,22.0,6.4,cloudy
2024-05-11,土,12,23,21500,4,4000,6,4800,4,3600,3,2700,2,2400,4,4000,3.0,0.0,17.9,23.8,10.7,cloudy
2024-05-13,月,3,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,65.0,46.299995,19.4,22.2,16.0,rainy
2024-05-14,火,15,28,26900,7,7000,5,4000,4,3600,5,4500,4,4800,3,3000,51.0,0.1,16.4,20.5,13.6,rainy
2024-05-15,水,8,10,9500,4,4000,2,1600,2,1800,1,900,1,1200,0,0,61.0,1.9,18.1,23.9,12.2,rainy
2024-05-16,木,6,9,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,61.0,5.1,18.3,24.2,15.2,rainy
2024-05-17,金,16,30,28600,10,10000,7,5600,5,4500,3,2700,4,4800,1,1000,3.0,0.0,18.6,24.6,11.1,cloudy
2024-05-18,土,16,35,33600,7,7000,7,5600,4,3600,4,3600,4,4800,9,9000,3.0,0.0,19.9,26.4,13.3,cloudy
2024-05-20,月,5,10,9500,3,3000,2,1600,2,1800,1,900,1,1200,1,1000,63.0,31.5,18.6,23.3,14.9,rainy
2024-05-21,火,9,16,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,63.0,9.2,21.2,27.2,15.6,rainy
2024-05-22,水,14,17,16200,3,3000,4,3200,2,1800,2,1800,2,2400,4,4000,3.0,0.0,19.3,23.7,16.8,cloudy
