ダウンロードした時刻：2025/06/13 14:18:43

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/4/1,14.6,8,1,3.0,0,8,1,3.8,0,8,1,14.85,8,1,0,1,8,1,2.8,8,1,73,8,1,6.0,8,1,19.7,8,1,11.8,8,1,1.5,0,8,1,曇時々雨一時晴,8,1,快晴,8,1
2024/4/2,14.2,8,1,0,1,8,1,10.6,0,8,1,22.30,8,1,0,1,8,1,3.0,8,1,50,8,1,5.0,8,1,20.6,8,1,8.4,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2024/4/3,13.9,8,1,11.5,0,8,1,0.0,0,8,1,4.58,8,1,0,1,8,1,1.6,8,1,83,8,1,10.0,8,1,16.6,8,1,12.3,8,1,1.5,0,8,1,雨時々曇,8,1,雨時々曇,8,1
2024/4/4,15.4,8,1,4.0,0,8,1,0.1,0,8,1,9.27,8,1,0,1,8,1,2.0,8,1,79,8,1,10.0,8,1,19.9,8,1,11.3,8,1,1.5,0,8,1,曇一時雨,8,1,曇後一時雨,8,1
2024/4/5,11.4,8,1,0.5,0,8,1,0.0,0,8,1,2.97,8,1,0,1,8,1,2.8,8,1,71,8,1,10.0,8,1,15.1,8,1,9.0,8,1,0.5,0,8,1,曇時々雨,8,1,曇時々雨,8,1
2024/4/6,12.7,8,1,0.0,0,8,1,0.0,0,8,1,8.84,8,1,0,1,8,1,1.8,8,1,81,8,1,10.0,8,1,15.8,8,1,9.0,8,1,0.0,0,8,1,曇,8,1,曇時々雨,8,1
2024/4/7,17.0,8,1,1.5,0,8,1,8.2,0,8,1,20.12,8,1,0,1,8,1,2.1,8,1,83,8,1,7.8,8,1,22.6,8,1,13.1,8,1,0.5,0,8,1,薄曇時々晴一時雨,8,1,曇,8,1
2024/4/8,18.8,8,1,0.0,0,8,1,2.3,0,8,1,12.90,8,1,0,1,8,1,2.0,8,1,85,8,1,10.0,8,1,23.2,8,1,15.4,8,1,0.0,0,8,1,曇後雨,8,1,曇時々雨,8,1
2024/4/9,15.6,8,1,55.5,0,8,1,0.0,0,8,1,2.41,8,1,0,1,8,1,4.4,8,1,78,8,1,9.3,8,1,19.8,8,1,9.7,8,1,5.5,0,8,1,大雨一時曇,8,1,曇一時晴,8,1
2024/4/10,11.7,8,1,0,1,8,1,11.9,0,8,1,26.41,8,1,0,1,8,1,3.2,8,1,47,8,1,2.8,8,1,17.8,8,1,7.4,8,1,0,1,8,1,晴,8,1,晴一時薄曇,8,1
2024/4/11,14.0,8,1,0,1,8,1,9.3,0,8,1,22.75,8,1,0,1,8,1,2.5,8,1,62,8,1,6.3,8,1,19.8,8,1,7.7,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2024/4/12,15.0,8,1,2.5,0,8,1,1.8,0,8,1,11.53,8,1,0,1,8,1,2.3,8,1,73,8,1,8.0,8,1,18.2,8,1,12.8,8,1,1.0,0,8,1,曇一時雨,8,1,晴,8,1
2024/4/13,16.4,8,1,0,1,8,1,10.5,0,8,1,21.47,8,1,0,1,8,1,2.3,8,1,68,8,1,6.5,8,1,22.7,8,1,11.1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇後晴,8,1
